"title","location","date"
"Memorandum by the Associate Chief of the Division of International Security Affairs (Bancroft) to Certain Officers of the Division 34","Washington",1946-03-20
"Memorandum Prepared in the Office of Special Political Affairs 36","Washington",1946-03-20
"The Consul General at Batavia (Foote) to the Secretary of State59","Batavia",1946-03-21
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1946-03-28
"The Consul General at Batavia (Foote) to the Secretary of State62","Batavia",1946-03-31
"The Ambassador in the Netherlands (Hornbeck) to the Secretary of State71","The Hague",1946-05-03
"United States Delegation Record, Council of Foreign Ministers, Second Session, Second Informal Meeting, Paris, May 6, 1946, 11 a.m.","Paris",1946-05-06
"The Secretary of State to the Chairman of the House Committee on Foreign Affairs (Bloom)","Washington",1946-05-24
"The Counselor of Embassy in China (Smyth) to the Secretary of State","Nanking",1946-06-18
"The Acting Secretary of State to the Ambassador in the United Kingdom (Harriman)","Washington",1946-06-27
"The Ambassador in the Netherlands (Hornbeck) to the Secretary of State","The Hague",1946-07-17
"The Ambassador in the Soviet Union (Smith) to the Secretary of State","Moscow",1946-07-23
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1946-07-24
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1946-07-25
"The Acting Secretary of State to the Ambassador in the Netherlands (Hornbeck)","Washington",1946-08-05
"The Acting Secretary of State to the Consul General at Batavia (Foote)","Washington",1946-08-09
"The Acting Secretary of State to the Consul General at Batavia (Foote)","Washington",1946-08-09
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1946-10-21
"The Chargé in the Soviet Union (Durbrow) to the Secretary of State","Moscow",1946-11-02
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1946-11-13
"The Acting Secretary of State to the Ambassador in the Netherlands (Hornbeck)","Washington",1946-11-19
"Memorandum Prepared for the Acting Secretary of State31","Washington",1946-11-27
"Memorandum of Conversation, by the Acting Secretary of State","Washington",1946-11-27
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1946-12-02
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1946-12-19
"The Secretary of State to the Ambassador in France (Caffery)87","Washington",1946-12-24
"The Minister in Siam (Stanton) to the Secretary of State","Bangkok",1947-01-07
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-01-08
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-01-09
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-01-10
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-01-13
"The Chargé in the United Kingdom (Gallman) to the Secretary of State","London",1947-01-21
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-01-23
"The Secretary of State to the Embassy in France","Washington",1947-02-03
"Memorandum of Conversation, by the Acting Assistant Chief of the Division of Southeastern Asian Affairs (Lacy)","Washington",1947-03-12
"The Acting Secretary of State to the Embassy in the Netherlands","Washington",1947-03-12
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1947-04-03
"The Chargé in the Netherlands (Benton) to the Secretary of State","The Hague",1947-04-04
"The Chargé in the Netherlands (Benton) to the Secretary of State","The Hague",1947-04-05
"The Consul General at Rangoon (Packer) to the Secretary of State","Rangoon",1947-04-19
"The Acting Secretary of State to the Embassy in the Netherlands","Washington",1947-04-24
"The Secretary of State to the Consulate General at Batavia","Washington",1947-05-15
"The Secretary of State to the Embassy in the Netherlands","Washington",1947-05-16
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-05-23
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-05-28
"Memorandum of Conversation, by Mr. Alexander Schnee of the Division of Southeast Asian Affairs","Washington",1947-05-29
"Memorandum of Conversation, by Mr. Alexander Sehnee of the Division of Southeast Asian Affairs","Washington",1947-05-29
"The Ambassador in the United Kingdom (Douglas) to the Secretary of State 91","London",1947-05-29
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1947-05-29
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1947-06-02
"The Ambassador in the United Kingdom (Douglas) to the Secretary of State 1","London",1947-06-04
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1947-06-05
"Memorandum of Conversation, by Mr. Alexander Sehnee of the Division of Southeast Asian Affairs","Washington",1947-06-06
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1947-06-10
"The Ambassador in the United Kingdom (Douglas) to the Secretary of State","London",1947-06-11
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-06-13
"Memorandum of Conversation, by the Secretary of State 10","Washington",1947-06-17
"The Secretary of State to the Embassy in the Netherlands 13","Washington",1947-06-17
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1947-06-18
"Memorandum of Conversation, by the Chief of the Division of South-east Asian Affairs (Moffat)","Washington",1947-06-20
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-06-20
"The Department of State to the British Embassy","Washington",1947-06-23
"Memorandum of Conversation, by the First Secretary of Embassy in the United Kingdom (Peterson)","London",1947-06-24
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-06-25
"The Secretary of State to the Consulate General at Batavia","Washington",1947-06-26
"The Secretary of State to the Embassy in the Netherlands","Washington",1947-06-28
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1947-06-29
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-06-30
"The Secretary of State to the Consulate General at Batavia","Washington",1947-07-03
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-07-07
"Memorandum by the Associate Chief of the Division of Northern European Affairs (Morgan) to the Director of the Office of European Affairs (Matthews)","Washington",1947-07-08
"Memorandum of Conversation, by the Assistant Chief of the Division of Southeast Asian Affairs (Landon)","Washington",1947-07-09
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-07-22
"The Acting United States Representative at the United Nations (Johnson) to the Secretary of State","New York",1947-07-22
"The Ambassador in India (Grady) to the Secretary of State","New Delhi",1947-07-23
"Memorandum of Conversation, by the Under Secretary of State (Lovett)","Washington",1947-07-24
"Memorandum of Conversation, by the Associate Chief of the Division of Northern European Affairs (Morgan)55","Washington",1947-07-24
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-07-25
"The Ambassador in India (Grady) to the Secretary of State","New Delhi",1947-07-26
"Memorandum by the Director of the Office of Far Eastern Affairs (Vincent) to the Under Secretary of State (Lovett)","Washington",1947-07-29
"Memorandum by the Deputy Director of the Office of Near Eastern and African Affairs (Villard) to the Counselor (Bohlen)","Washington",1947-07-29
"Memorandum by the Secretary of State to President Truman 63","Washington",1947-07-30
"The Chargé in Egypt (Patterson) to the Secretary of State","Cairo",1947-07-30
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1947-07-31
"Memorandum of Telephone Conversation, by the Under Secretary of State (Lovett)","Washington",1947-07-31
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-08-01
"The Secretary of State to the Embassy in the Netherlands","Washington",1947-08-01
"Memorandum of Conversation, by the Under Secretary of State (Lovett)73","Washington",1947-08-02
"The Netherlands Ambassador (Van Kleffens) to the President of the United Nations Security Council (Faris El Khoury), at New York 77","Washington",1947-08-03
"The Consul at Peiping (Freeman) to the Ambassador in China (Stuart)83","Peiping",1947-08-04
"Memorandum of Conversation, by the Under Secretary of State (Lovett)","Washington",1947-08-04
"Memorandum of Conversation, by the Under Secretary of State (Lovett)","Washington",1947-08-05
"The Ambassador in France (Caffery) to the Secretary of State","Paris",1947-08-05
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-08-08
"The Secretary of State to the Consul General at Batavia (Foote)","Washington",1947-08-08
"The Secretary of State to the Acting United States Representative at the United Nations (Johnson)","Washington",1947-08-08
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1947-08-12
"The Secretary of State to the Acting United States Representative at the United Nations (Johnson)","Washington",1947-08-12
"The Acting Secretary of State to the Acting United States Representative at the United Nations (Johnson)","Washington",1947-08-13
"The Acting Secretary of State to the Consul General at Batavia (Foote)94","Washington",1947-08-14
"Memorandum by Mr. Ben Hill Brown, Jr., of the Office of the Legal Adviser, to the Director of the Office of Special Political Affairs (Rusk)","Washington",1947-08-15
"The Acting United States Representative at the United Nations (Johnson) to the Secretary of State","New York",1947-08-16
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-08-17
"Memorandum of Conversation, by the Acting Secretary of State","Washington",1947-08-18
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-08-19
"Memorandum of Conversation, by the Acting Chief of the Division of Southeast Asian Affairs (Landon)","Washington",1947-08-20
"The Acting Secretary of State to the Embassy in the United Kingdom","Washington",1947-08-20
"The Acting Secretary of State to the Embassy in the Netherlands","Washington",1947-08-21
"The Acting Secretary of State to the Embassy in the Netherlands","Washington",1947-08-21
"Memorandum for General Wedemeyer","Nanking",1947-08-22
"The Acting Secretary of State to the Acting United States Representative at the United Nations (Johnson)","Washington",1947-08-25
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1947-08-27
"The Consul General at Batavia (Foote) to the Secretary of State","Batavia",1947-09-03
"The Consul General at Batavia (Foote) to the Secretary of State 16","Batavia",1947-09-22
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1947-09-27
"The Acting Secretary of State to the United States Representative at the United Nations (Austin)","Washington",1947-10-10
"The Consul General at Batavia (Livengood) to the Secretary of State 20","Batavia",1947-10-11
"Memorandum by the Director of the Policy Planning Staff (Kennan)65","Washington",1947-10-14
"The United States Representative at the United Nations (Austin) to the Acting Secretary of State","New York",1947-10-15
"The United States Representative at the United Nations (Austin) to the Secretary of State","New York",1947-10-15
"Memorandum of Conversations by the Acting Assistant Chief of the Division of Southeast Asian Affairs (Lacy)","Washington",1947-10-16
"The Secretary of State to the Acting Secretary of State","New York",1947-10-21
"The United States Representative at the United Nations (Austin) to the Acting Secretary of State 30","New York",1947-10-25
"The United States Representative at the United Nations (Austin) to the Acting Secretary of State","New York",1947-10-25
"The Consul General at Batavia (Livengood) to the Secretary of State 32","Batavia",1947-10-29
"The Acting Secretary of State to the United States Representative at the United Nations (Austin)33","Washington",1947-10-30
"The Consul General at Batavia (Livengood) to the Secretary of State 36","Batavia",1947-10-31
"The Consul General at Batavia (Livengood) to the Secretary of State 38","Batavia",1947-11-01
"The Secretary of State to the Consulate General at Batavia 41","Washington",1947-11-03
"The Ambassador in the Soviet Union (Smith) to the Secretary of State","Moscow",1947-11-06
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1947-11-07
"The Consul General at Batavia (Livengood) to the Secretary of State 43","Batavia",1947-11-13
"Memorandum of Conversation, by Mr. Harley E. Notter of the United States Delegation Staff of Advisers","New York",1947-11-14
"The Consul General at Batavia (Livengood) to the Secretary of State 46","Batavia",1947-11-17
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1947-11-18
"The Consul General at Batavia (Livengood) to the Secretary of State 49","Batavia",1947-12-01
"The Consul General at Batavia (Livengood) to the Secretary of State 51","Batavia",1947-12-01
"The Chargé in the Soviet Union (Durbrow) to the Secretary of State 94","Moscow",1947-12-02
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1947-12-04
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1947-12-04
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1947-12-06
"The Consul General at Batavia (Livengood) to the Secretary of State 58","Batavia",1947-12-06
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1947-12-11
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1947-12-13
"Memorandum of Conversation, by the Political Adviser for Germany (Murphy)31","London",1947-12-18
"The Acting Secretary of State to the Consulate General at Batavia 63","Washington",1947-12-18
"The Acting Secretary of State to the Consulate General at Batavia 64","Washington",1947-12-19
"The Consul General at Batavia (Livengood) to the Secretary of State 67","Batavia",1947-12-20
"The Consul General at Batavia (Livengood) to the Secretary of State 70","Batavia",1947-12-20
"The Consul General at Batavia (Livengood) to the Secretary of State 73","Batavia",1947-12-20
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1947-12-20
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1947-12-22
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1947-12-23
"The Consul General at Batavia (Livengood) to the Secretary of State 85","Batavia",1947-12-27
"The Ambassador in the Soviet Union (Smith) to the Secretary of State","Moscow",1947-12-27
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1947-12-30
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1947-12-31
"The Acting Secretary of State to the Embassy in Australia","Washington",1947-12-31
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1947-12-31
"The Consul General at Batavia (Livengood) to the Secretary of State 2","Batavia",1948-01-05
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-01-05
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-01-05
"Memorandum of Conversation, by the Acting Chief of the Division of Northern European Affairs (Hulley)","Washington",1948-01-06
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-01-06
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-01-07
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-01-07
"The Secretary of State to the Consulate General at Batavia 1","Washington",1948-01-07
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-01-09
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-01-10
"The Secretary of State to the Embassy in the Netherlands","Washington",1948-01-09
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-01-10
"The Secretary of State to the Consulate General at Batavia","Washington",1948-01-10
"The Chargé in the Netherlands (Bonsal) to the Secretary of State","The Hague",1948-01-11
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-01-12
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-01-13
"The Secretary of State to the Embassy in the Netherlands 1","Washington",1948-01-13
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-01-17
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-01-19
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-01-19
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-01-21
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1948-01-23
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-01-25
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-01-28
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-01-28
"Memorandum of Conversation, by the Assistant Secretary of State for Political Affairs (Armour)1","Washington",1948-01-29
"The Secretary of State to Certain Diplomatic and Consular Officers 2","Washington",1948-01-29
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-01-31
"Memorandum of Conversation, by the Acting Assistant Chief of the Division of Southeast Asian Affairs (Lacy)","Washington",1948-02-04
"The Secretary of State to the Consulate General at Batavia 1","Washington",1948-02-04
"Memorandum to the Secretary of State 1","Washington",1948-02-10
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1948-02-13
"Memorandum of Conversation, by the Acting Assistant Chief of the Division of Southeast Asian Affairs (Lacy)","Washington",1948-02-13
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-02-13
"The Secretary of State to the Consulate General at Batavia","Washington",1948-02-13
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-02-15
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-02-18
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-02-20
"Memorandum of Conversation, by the Acting Assistant Chief of the Division of Southeast Asian Affairs (Lacy)","Washington",1948-02-21
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-02-24
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-02-25
"The Secretary of State to the United States Representative at the United Nations (Austin)","Washington",1948-02-25
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-02-26
"The Secretary of State to the United States Representative at the United Nations (Austin)1","Washington",1948-02-27
"The Secretary of State to the Consulate General at Batavia","Washington",1948-03-01
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1948-03-02
"The Secretary of State to the Consulate General at Batavia","Washington",1948-03-02
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-03-04
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-03-04
"The Secretary of State to the Consulate General at Batavia","Washington",1948-03-05
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-03-06
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-03-10
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-03-15
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-03-17
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-03-17
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-03-17
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-03-18
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-03-20
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-03-23
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-03-25
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-03-25
"The Secretary of State to the Consulate General at Batavia","Washington",1948-03-26
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-03-31
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-04-01
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-04-02
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-04-02
"Memorandum of Conversation, by the Assistant Chief of the Division of South Asian Affairs (Mathews)","Washington",1948-04-02
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-04-06
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Batavia",1948-04-06
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-04-08
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-04-08
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1948-04-08
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-04-10
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-04-11
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-04-16
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1948-04-19
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-04-20
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-04-21
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-04-21
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1948-04-21
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1948-04-22
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1948-04-23
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-04-26
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-04-28
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-04-30
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-04-30
"The Secretary of State to the Consulate General at Batavia","Washington",1948-04-30
"Memorandum of Conversation, by the Secretary of State 1","Washington",1948-05-04
"The Secretary of State to the Consulate General at Batavia","Washington",1948-05-07
"The Secretary of State to the Consulate General at Batavia","Washington",1948-05-07
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-05-10
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-05-11
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-05-12
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-05-13
"The Secretary of State to the Consulate General at Batavia","Washington",1948-05-14
"Memorandum of Conversation, by the Acting Assistant Chief of the Division of Southeast Asian Affairs (Lacy)","Washington",1948-05-17
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-05-18
"The Secretary of State to the United States Representative at the United Nations (Austin)","Washington",1948-05-18
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-05-21
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-05-21
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-05-25
"The Ambassador in the United Kingdom (Douglas) to the Secretary of State","London",1948-05-25
"Memorandum of Conversation, by the Under Secretary of State (Lovett)","Washington",1948-05-27
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1948-05-27
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-05-28
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-05-28
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1948-05-28
"The Acting Secretary of State to the Consulate General at Batavia 1","Washington",1948-05-28
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-05-29
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-05-29
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-05-30
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-05-31
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-05-31
"The Acting Secretary of State to the Consulate at Haifa","Washington",1948-05-31
"The Acting Secretary of State to the Consulate General at Batavia","Washington",1948-05-31
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-01
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1948-06-01
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-02
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-03
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-03
"The Secretary of State to the Consulate General at Batavia","Washington",1948-06-03
"The United States Representative, Committee of Good Offices (duBois) to the Secretary of State","Kaliurang, Java",1948-06-05
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1948-06-05
"The Secretary of State to the Consulate General at Batavia","Washington",1948-06-05
"The Secretary of State to the Consulate General at Batavia 1","Washington",1948-06-05
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-06
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-07
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-08
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1948-06-08
"The Secretary of State to the Consulate General at Batavia","Washington",1948-06-08
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-11
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1948-06-12
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-12
"The Secretary of State to the Consulate General at Batavia","Washington",1948-06-12
"The Secretary of State to the Embassy in the Netherlands","Washington",1948-06-12
"Memorandum of Conversation, by the Under Secretary of State (Lovett)","Washington",1948-06-14
"The Secretary of State to the Consulate General at Batavia 1","Washington",1948-06-14
"Memorandum of conversation, by the acting assistant chief of the division of southeast Asian affairs (lacy)","Washington",1948-06-15
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-16
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-16
"The Secretary of State to the Consulate General at Batavia","Washington",1948-06-16
"The Secretary of State to the Consulate General at Batavia","Washington",1948-06-17
"The Secretary of State to the Consulate General at Batavia","Washington",1948-06-17
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-18
"The Secretary of State to the Consulate General at Batavia","Washington",1948-06-18
"The Secretary of State to the Consulate General at Batavia","Washington",1948-06-18
"Memorandum of Conversation, by the Acting Assistant Chief of the Division of Southeast Asian Affairs (Lacy)","Washington",1948-06-21
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-22
"The Netherlands Ambassador (Van Kleffens) to the Under Secretary of State (Lovett)","Washington",1948-06-22
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-22
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-23
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-23
"Memorandum of Telephone Conversation, by Mr. Joseph W. Scott, of the Division of United Nations Political Affairs","Washington",1948-06-23
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague",1948-06-23
"The Secretary of State to the Consulate General at Batavia","Washington",1948-06-23
"The Secretary of State to the Embassy in the Netherlands","Washington",1948-06-24
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-25
"The Secretary of State to the Consulate General at Batavia","Washington",1948-06-25
"The Secretary of State to the Consulate General at Batavia","Washington",1948-06-25
"The Secretary of State to the Embassy in the Netherlands","Washington",1948-06-25
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-28
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-28
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-30
"The Consul General at Batavia (Livengood) to the Secretary of State","Batavia",1948-06-30
"The Secretary of State to the Consulate General at Batavia","Washington",1948-07-06
"Memorandum of Conversation, by the Chief of the Division of Southeast Asian Affairs (Reed)","Washington",1948-07-07
"The Secretary of State to Certain Diplomatic Missions 1","Washington",1948-07-08
