"title","location","date"
"The Consul General at Batavia (Foote) to the Secretary of
                                State","Batavia","December
                                    19, 1946—11 p.m."
"The Secretary of State to
                                the Ambassador in France (Caffery)87","Washington","December
                                    24, 1946—4 p.m."
"
                            The Minister in Siam (Stanton) to the
                                    Secretary of State
                            
                        ","
                                    Bangkok","January 7,
                                    1947—4 p.m."
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","January 8,
                                    1947—4 p.m."
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","January 9,
                                    1947—10 p.m."
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","January
                                    10, 1947—4 p.m."
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","January
                                    13, 1947—10 p.m."
"
                            The Chargé in the United Kingdom (Gallman) to the Secretary of State
                            
                        ","
                                    London","January
                                    21, 1947—7 p.m."
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","January
                                    23, 1947—3 p.m."
"
                            The Secretary of State to
                                the Embassy in France
                            
                        ","
                                    Washington","February
                                    3, 1947—8 p.m."
"
                            Memorandum of Conversation, by the Acting Assistant
                                Chief of the Division of Southeastern Asian Affairs (Lacy)","Washington","March 12, 1947"
"
                            The Acting Secretary of
                                    State to the Embassy in the
                                    Netherlands
                            
                        ","
                                    Washington","March 12,
                                1947"
"
                            The Acting Secretary of
                                    State to the Consulate General at
                                    Batavia
                            
                        ","
                                    Washington","April 3,
                                    1947—7 p.m."
"
                            The Chargé in the Netherlands (Benton) to the Secretary of State
                            
                        ","
                                    The Hague","April 4,
                                1947"
"
                            The Chargé in the Netherlands (Benton) to the Secretary of State
                            
                        ","
                                    The Hague","April 5,
                                    1947—4 p.m."
"
                            The Consul General at Rangoon (Packer) to the Secretary of State
                            
                        ","
                                    Rangoon","April 19,
                                1947"
"
                            The Acting Secretary of
                                    State to the Embassy in the
                                    Netherlands
                            
                        ","
                                    Washington","April 24,
                                    1947—3 p.m."
"
                            The Secretary of State to
                                the Consulate General at Batavia
                            
                        ","
                                    Washington","May 15,
                                    1947—6 p.m."
"
                            The Secretary of State to
                                the Embassy in the Netherlands
                            
                        ","
                                    Washington","May 16,
                                    1947—3 p.m."
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","May 23,
                                    1947—11 p.m."
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","May 28,
                                    1947—10 p.m."
"
                            Memorandum of Conversation, by Mr. Alexander Schnee of
                                the Division of Southeast Asian Affairs
                        ","Washington","May 29, 1947"
"
                            Memorandum of Conversation, by Mr. Alexander Sehnee of
                                the Division of Southeast Asian Affairs
                        ","Washington","May 29, 1947"
"
                            The Ambassador in the United Kingdom (Douglas) to the Secretary of State
                            
                            91
                        ","
                                    London","May 29,
                                    1947—4 p.m."
"
                            The Ambassador in the Netherlands (Baruch) to the Secretary of State
                            
                        ","
                                    The Hague","May 29,
                                    1947—8 p.m."
"
                            The Ambassador in the Netherlands (Baruch) to the Secretary of State
                            
                        ","
                                    The Hague","June 2,
                                    1947—3 p.m."
"
                            The Ambassador in the United Kingdom (Douglas) to the Secretary of State
                            
                            1
                        ","
                                    London","June 4,
                                    1947—2 a.m."
"
                            The British Embassy to the
                                    Department of State
                            
                            3
                        ",NA,"June 4, 1947"
"
                            The Acting Secretary of
                                    State to the Consulate General at
                                    Batavia
                            
                        ","
                                    Washington","June 5,
                                    1947—8 p.m."
"
                            Memorandum of Conversation, by Mr. Alexander Sehnee of
                                the Division of Southeast Asian Affairs
                        ","Washington","June 6, 1947"
"
                            The Ambassador in the Netherlands (Baruch) to the Secretary of State
                            
                        ","
                                    The Hague","June 10,
                                    1947—6 p.m."
"
                        The Ambassador in the United Kingdom (Douglas) to the Secretary of State
                        
                    ","
                                London","June 11,
                                1947—10 a.m."
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","June 13,
                                    1947—10 p.m."
"
                            Memorandum of Conversation, by the Secretary of
                                State
                            10
                        ","Washington","June 17, 1947"
"
                            The Secretary of State to
                                the Embassy in the Netherlands
                            
                            13
                        ","
                                    Washington","June 17,
                                    1947—4 p.m."
"
                                The British Embassy to
                                    the Department of State
                                
                                1
                            ",NA,"undated"
"
                            The Ambassador in the Netherlands (Baruch) to the Secretary of State
                            
                        ","
                                    The Hague","June 18,
                                    1947—7 p.m."
"
                            Memorandum of Conversation, by the Chief of the
                                Division of South-east Asian Affairs (Moffat)","Washington","June 20, 1947"
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","June 20,
                                    1947—10 p.m."
"
                            The Department of State to
                                the British Embassy
                            
                        ","Washington","June 23,
                                1947"
"
                                    Memorandum of Conversation, by the First
                                        Secretary of Embassy in the United Kingdom (Peterson)","London","June 24, 1947"
"
                            Press Release Issued by the Department of State, June
                                25, 1947
                            18
                        ",NA,"June 25, 1947"
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","June 25,
                                    1947—3 p.m."
"
                            The Secretary of State to
                                the Consulate General at Batavia
                            
                        ","
                                    Washington","June 26,
                                    1947—8 p.m."
"
                            The Secretary of State to
                                the Embassy in the Netherlands
                            
                        ","
                                    Washington","June 28,
                                    1947—4 p.m."
"
                            The Ambassador in the Netherlands (Baruch) to the Secretary of State
                            
                        ","
                                    The Hague","June 29,
                                    1947—8 p.m."
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","June 30,
                                    1947—10 a.m. [p.m.]"
"
                            The Secretary of State to
                                the Consulate General at Batavia
                            
                        ","
                                    Washington","July 3,
                                    1947—7 p.m."
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","July 7,
                                    1947—5 p.m."
"
                            Memorandum by the Associate Chief of the Division of
                                Northern European Affairs (Morgan) to the
                                Director of the Office of European Affairs (Matthews)","Washington","July 8, 1947"
"
                            Memorandum of Conversation, by the Assistant Chief of
                                the Division of Southeast Asian Affairs (Landon)","Washington","July 9, 1947"
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","July 22,
                                    1947—11 p.m."
"
                            The Acting United States Representative at the United
                                Nations (Johnson) to the Secretary of State
                            
                        ","
                                    New York","July 22,
                                    1947—2 p.m."
"
                            The Ambassador in India (Grady) to
                                the Secretary of State
                            
                        ","
                                    New Delhi","July 23,
                                    1947—10 a.m."
"
                                Memorandum of Conversation, by the Under Secretary
                                    of State (Lovett)","Washington","July 24, 1947"
"
                            Memorandum of Conversation, by the Associate Chief of
                                the Division of Northern European Affairs (Morgan)55
                        ","Washington","July 24, 1947"
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","July 25,
                                    1947—3 p.m."
"
                            The Ambassador in India (Grady) to
                                the Secretary of State
                            
                        ","
                                    New Delhi","July 26,
                                    1947—10 a.m."
"
                            Memorandum by the Director of the Office of Far
                                Eastern Affairs (Vincent) to the Under
                                Secretary of State (Lovett)","Washington","July 29, 1947"
"
                            Memorandum by the Deputy Director of the Office of
                                Near Eastern and African Affairs (Villard) to the
                                Counselor (Bohlen)","Washington","July 29, 1947"
"
                            Memorandum by the Secretary of
                                    State to President Truman
                            
                            63
                        ","
                                    Washington","July 30,
                                1947"
"
                            The Chargé in Egypt (Patterson) to
                                the Secretary of State
                            
                        ","
                                    Cairo","July 30,
                                    1947—6 p.m."
"
                            The Ambassador in the Netherlands (Baruch) to the Secretary of State
                            
                        ","
                                    The Hague","July 31,
                                    1947—3 a.m."
"
                            Memorandum of Telephone Conversation, by the Under
                                Secretary of State (Lovett)","Washington","July 31, 1947"
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","August 1,
                                    1947—11 p.m."
"
                            The Secretary of State to
                                the Embassy in the Netherlands
                            
                        ","
                                    Washington","August 1,
                                    1947—7 p.m."
"
                            Memorandum of Conversation, by the Under Secretary of
                                State (Lovett)73
                        ","Washington","August 2, 1947"
"
                            The Netherlands Ambassador (Van Kleffens) to the President of the United Nations Security
                                Council (Faris El
                                    Khoury), at New York
                            77
                        ","
                                    Washington","August 3,
                                1947"
"
                        The Consul at Peiping (Freeman) to the
                            Ambassador in China (Stuart)83
                    ","
                                Peiping","August 4,
                            1947"
"
                            Memorandum of Conversation, by the Under Secretary of
                                State (Lovett)","Washington","August 4, 1947"
"
                            Memorandum of Conversation, by the Under Secretary of
                                State (Lovett)","Washington","August 5, 1947"
"
                            The Ambassador in France (Caffery) to
                                the Secretary of State
                            
                        ","
                                    Paris","August 5,
                                    1947—1 p.m."
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","August 8,
                                    1947—11 a.m."
"
                            The Secretary of State to
                                the Consul General at Batavia (Foote)","
                                    Washington","August 8,
                                    1947—7 p.m."
"
                            The Secretary of State to
                                the Acting United States Representative at the United Nations
                                (Johnson)","
                                    Washington","August 8,
                                    1947—7 p.m."
"
                            The Ambassador in the Netherlands (Baruch) to the Secretary of State
                            
                        ","
                                    The Hague","August 12,
                                1947"
"
                            The Secretary of State to
                                the Acting United States Representative at the United Nations
                                (Johnson)","
                                    Washington","August 12,
                                    1947—5 p.m."
"
                            The Acting Secretary of
                                    State to the Acting United States Representative at the
                                United Nations (Johnson)","
                                    Washington","August 13,
                                    1947—6 p.m."
"
                            The Acting Secretary of
                                    State to the Consul General at Batavia (Foote)94
                        ","
                                    Washington","August 14,
                                    1947—7 p.m."
"
                            Memorandum by Mr. Ben Hill
                                    Brown, Jr., of the Office of the Legal Adviser, to
                                the Director of the Office of Special Political Affairs
                                (Rusk)","Washington","August 15, 1947"
"
                            The Acting United States Representative at the United
                                Nations (Johnson) to the Secretary of State
                            
                        ","
                                    New York","August 16,
                                    1947—2:40 p.m."
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","August 17,
                                    1947—11 p.m."
"
                            Memorandum of Conversation, by the Acting Secretary of
                                State
                        ","Washington","August 18, 1947"
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","August 19,
                                    1947—11 a.m."
"
                            Memorandum of Conversation, by the Acting Chief of the
                                Division of Southeast Asian Affairs (Landon)","Washington","August 20, 1947"
"
                            The Acting Secretary of
                                    State to the Embassy in the United
                                    Kingdom
                            
                        ","
                                    Washington","August 20,
                                    1947—6 p.m."
"
                            The Acting Secretary of
                                    State to the Embassy in the
                                    Netherlands
                            
                        ","
                                    Washington","August 21,
                                    1947—6 p.m."
"
                            The Acting Secretary of
                                    State to the Embassy in the
                                    Netherlands
                            
                        ","
                                    Washington","August 21,
                                    1947—7 p.m."
"
                        Memorandum for General Wedemeyer
                    ","Nanking","August 22,
                            1947"
"
                            The Acting Secretary of
                                    State to the Acting United States Representative at the
                                United Nations (Johnson)","
                                    Washington","August 25,
                                    1947—4 p.m."
"
                            The Acting Secretary of
                                    State to the Consulate General at
                                    Batavia
                            
                        ","
                                    Washington","August 27,
                                    1947—10 a.m."
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                        ","
                                    Batavia","September
                                    3, 1947—11 a.m."
"
                            The Consul General at Batavia (Foote) to the Secretary of State
                            
                            16
                        ","
                                    Batavia","September
                                    22, 1947—11 p.m."
"
                            The Acting Secretary of
                                    State to the Consulate General at
                                    Batavia
                            
                        ","
                                    Washington","September
                                    27, 1947—4 p.m."
"
                        Minutes of the Fifteenth Meeting of the United States
                            Delegation to the Second Regular Session of the General Assembly, New
                            York, October 3, 1947, 9:15 a.m.
                    ",NA,"October 3, 1947, 9:15 a.m."
"
                            The Acting Secretary of
                                    State to the United States Representative at the United
                                Nations (Austin)","
                                    Washington","October
                                    10, 1947—11 p.m."
"
                            The Consul General at Batavia (Livengood) to the Secretary of State
                            
                            20
                        ","
                                    Batavia","October
                                    11, 1947—10 p.m."
"
                            Memorandum by the Director of the Policy Planning
                                Staff (Kennan)65
                        ","Washington","October 14, 1947"
"
                            The United States Representative at the United
                                Nations (Austin) to the Acting Secretary of State
                            
                        ","
                                    New York","October
                                    15, 1947—12:07 a.m."
"
                            The United States Representative at the United
                                Nations (Austin) to the Secretary of State
                            
                        ","
                                    New York","October
                                    15, 1947—5:13 p.m."
"
                            Memorandum of Conversations by the Acting Assistant
                                Chief of the Division of Southeast Asian Affairs (Lacy)","Washington","October 16, 1947"
"
                        Editorial Note
                    ",NA,NA
"
                            The Secretary of State to
                                the Acting Secretary of State
                            
                        ","
                                    New York","October
                                    21, 1947—12:40 p.m."
"
                            The United States Representative at the United
                                Nations (Austin) to the Acting Secretary of State
                            
                            30
                        ","
                                    New York","October
                                    25, 1947—12:05 p.m."
"
                            The United States Representative at the United
                                Nations (Austin) to the Acting Secretary of State
                            
                        ","
                                    New York","October
                                    25, 1947—12:10 p.m."
"
                            The Consul General at Batavia (Livengood) to the Secretary of State
                            
                            32
                        ","
                                    Batavia","October
                                    29, 1947—11 a.m."
"
                            The Acting Secretary of
                                    State to the United States Representative at the United
                                Nations (Austin)33
                        ","
                                    Washington","October
                                    30, 1947—7 p.m."
"
                            The Consul General at Batavia (Livengood) to the Secretary of State
                            
                            36
                        ","
                                    Batavia","October
                                    31, 1947—4 p.m."
"
                            The Consul General at Batavia (Livengood) to the Secretary of State
                            
                            38
                        ","
                                    Batavia","November
                                    1, 1947—11 a.m."
"
                            The Secretary of State to
                                the Consulate General at Batavia
                            
                            41
                        ","
                                    Washington","November 3,
                                1947"
"
                            The Ambassador in the Soviet Union (Smith) to the Secretary of State
                            
                        ","
                                    Moscow","November
                                    6, 1947—8 p.m."
"
                            The Consul General at Batavia (Livengood) to the Secretary of State
                            
                        ","
                                    Batavia","November 7,
                                1947"
"
                            The Consul General at Batavia (Livengood) to the Secretary of State
                            
                            43
                        ","
                                    Batavia","November
                                    13, 1947—3 p.m."
"
                        Memorandum of Conversation, by Mr. Harley E. Notter of the United States
                                Delegation Staff of Advisers
                        
                    ","New
                                York","November 14, 1947"
"
                            The Consul General at Batavia (Livengood) to the Secretary of State
                            
                            46
                        ","
                                    Batavia","November
                                    17, 1947—9 a.m."
"
                            The Acting Secretary of
                                    State to the Consulate General at
                                    Batavia
                            
                        ","
                                    Washington","November
                                    18, 1947—noon"
"
                            The Consul General at Batavia (Livengood) to the Secretary of State
                            
                            49
                        ","
                                    Batavia","December
                                    1, 1947—2 p.m."
"
                            The Consul General at Batavia (Livengood) to the Secretary of State
                            
                            51
                        ","
                                    Batavia","December
                                    1, 1947—3 p.m."
"
                            The Chargé in the Soviet Union (Durbrow) to the Secretary of State
                            
                            94
                        ","
                                    Moscow","December
                                    2, 1947—9 p.m."
"
                            The Consul General at Batavia (Livengood) to the Secretary of State
                            
                        ","
                                    Batavia","December
                                    4, 1947—10 a.m."
"
                            The Consul General at Batavia (Livengood) to the Secretary of State
                            
                        ","
                                    Batavia","December
                                    4, 1947—11 a.m."
"
                            The Consul General at Batavia (Livengood) to the Secretary of State
                            
                        ","
                                    Batavia","December
                                    6, 1947—10 a.m."
"
                            The Consul General at Batavia (Livengood) to the Secretary of State
                            
                            58
                        ","
                                    Batavia","December
                                    6, 1947—11 a.m."
"
                            The Acting Secretary of
                                    State to the Consulate General at
                                    Batavia
                            
                        ","
                                    Washington","December
                                    11, 1947—7 p.m."
"
                            The Consul General at Batavia (Livengood) to the Secretary of State
                            
                        ","
                                    Batavia","December
                                    13, 1947—9 a.m."
"
                            British Memorandum of Conversation
                            30
                        ","London","undated"
"
                            Memorandum of Conversation, by the Political Adviser
                                for Germany (Murphy)31
                        ","
                                    London","December 18,
                                1947"
"
                            The Acting Secretary of
                                    State to the Consulate General at
                                    Batavia
                            
                            63
                        ","
                                    Washington","December
                                    18, 1947—10 p.m."
