"title","location","date","lat","long","region"
"The Ambassador in the Netherlands (Hornbeck) to the Secretary of State","The Hague","1946-03-15",52.07494555,4.26968022053645,"Europe"
"Memorandum by the Associate Chief of the Division of International Security Affairs (Bancroft) to Certain Officers of the Division 34","Washington","1946-03-20",38.8948932,-77.0365529,"North America"
"Memorandum Prepared in the Office of Special Political Affairs 36","Washington","1946-03-20",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Foote) to the Secretary of State59","Jakarta","1946-03-21",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1946-03-28",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Foote) to the Secretary of State62","Jakarta","1946-03-31",-6.1753942,106.827183,"Asia and Pacific"
"The Ambassador in the Netherlands (Hornbeck) to the Secretary of State71","The Hague","1946-05-03",52.07494555,4.26968022053645,"Europe"
"United States Delegation Record, Council of Foreign Ministers, Second Session, Second Informal Meeting, Paris, May 6, 1946, 11 a.m.","Paris","1946-05-06",48.8566101,2.3514992,"Europe"
"The Secretary of State to the Chairman of the House Committee on Foreign Affairs (Bloom)","Washington","1946-05-24",38.8948932,-77.0365529,"North America"
"The Counselor of Embassy in China (Smyth) to the Secretary of State","Nanking","1946-06-18",32.0609736,118.7916458,"Asia and Pacific"
"The Acting Secretary of State to the Ambassador in the United Kingdom (Harriman)","Washington","1946-06-27",38.8948932,-77.0365529,"North America"
"The Ambassador in the Netherlands (Hornbeck) to the Secretary of State","The Hague","1946-07-17",52.07494555,4.26968022053645,"Europe"
"The Ambassador in the Soviet Union (Smith) to the Secretary of State","Moscow","1946-07-23",55.7504461,37.6174943,"Asia and Pacific"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1946-07-24",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1946-07-25",-6.1753942,106.827183,"Asia and Pacific"
"The Acting Secretary of State to the Ambassador in the Netherlands (Hornbeck)","Washington","1946-08-05",38.8948932,-77.0365529,"North America"
"The Acting Secretary of State to the Consul General at Batavia (Foote)","Washington","1946-08-09",38.8948932,-77.0365529,"North America"
"The Acting Secretary of State to the Consul General at Batavia (Foote)","Washington","1946-08-09",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1946-10-21",-6.1753942,106.827183,"Asia and Pacific"
"The Chargé in the Soviet Union (Durbrow) to the Secretary of State","Moscow","1946-11-02",55.7504461,37.6174943,"Asia and Pacific"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1946-11-13",-6.1753942,106.827183,"Asia and Pacific"
"The Acting Secretary of State to the Ambassador in the Netherlands (Hornbeck)","Washington","1946-11-19",38.8948932,-77.0365529,"North America"
"Memorandum Prepared for the Acting Secretary of State31","Washington","1946-11-27",38.8948932,-77.0365529,"North America"
"Memorandum of Conversation, by the Acting Secretary of State","Washington","1946-11-27",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1946-12-02",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1946-12-19",-6.1753942,106.827183,"Asia and Pacific"
"The Secretary of State to the Ambassador in France (Caffery)87","Washington","1946-12-24",38.8948932,-77.0365529,"North America"
"The Minister in Siam (Stanton) to the Secretary of State","Bangkok","1947-01-07",13.7542529,100.493087,"Asia and Pacific"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-01-08",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-01-09",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-01-10",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-01-13",-6.1753942,106.827183,"Asia and Pacific"
"The Chargé in the United Kingdom (Gallman) to the Secretary of State","London","1947-01-21",51.5073219,-0.1276474,"Europe"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-01-23",-6.1753942,106.827183,"Asia and Pacific"
"The Secretary of State to the Embassy in France","Washington","1947-02-03",38.8948932,-77.0365529,"North America"
"Memorandum of Conversation, by the Acting Assistant Chief of the Division of Southeastern Asian Affairs (Lacy)","Washington","1947-03-12",38.8948932,-77.0365529,"North America"
"The Acting Secretary of State to the Embassy in the Netherlands","Washington","1947-03-12",38.8948932,-77.0365529,"North America"
"The Acting Secretary of State to the Consulate General at Batavia","Washington","1947-04-03",38.8948932,-77.0365529,"North America"
"The Chargé in the Netherlands (Benton) to the Secretary of State","The Hague","1947-04-04",52.07494555,4.26968022053645,"Europe"
"The Chargé in the Netherlands (Benton) to the Secretary of State","The Hague","1947-04-05",52.07494555,4.26968022053645,"Europe"
"The Consul General at Rangoon (Packer) to the Secretary of State","Rangoon","1947-04-19",16.7967129,96.1609916,"Asia and Pacific"
"The Acting Secretary of State to the Embassy in the Netherlands","Washington","1947-04-24",38.8948932,-77.0365529,"North America"
"The Secretary of State to the Consulate General at Batavia","Washington","1947-05-15",38.8948932,-77.0365529,"North America"
"The Secretary of State to the Embassy in the Netherlands","Washington","1947-05-16",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-05-23",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-05-28",-6.1753942,106.827183,"Asia and Pacific"
"Memorandum of Conversation, by Mr. Alexander Schnee of the Division of Southeast Asian Affairs","Washington","1947-05-29",38.8948932,-77.0365529,"North America"
"Memorandum of Conversation, by Mr. Alexander Sehnee of the Division of Southeast Asian Affairs","Washington","1947-05-29",38.8948932,-77.0365529,"North America"
"The Ambassador in the United Kingdom (Douglas) to the Secretary of State 91","London","1947-05-29",51.5073219,-0.1276474,"Europe"
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague","1947-05-29",52.07494555,4.26968022053645,"Europe"
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague","1947-06-02",52.07494555,4.26968022053645,"Europe"
"The Ambassador in the United Kingdom (Douglas) to the Secretary of State 1","London","1947-06-04",51.5073219,-0.1276474,"Europe"
"The Acting Secretary of State to the Consulate General at Batavia","Washington","1947-06-05",38.8948932,-77.0365529,"North America"
"Memorandum of Conversation, by Mr. Alexander Sehnee of the Division of Southeast Asian Affairs","Washington","1947-06-06",38.8948932,-77.0365529,"North America"
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague","1947-06-10",52.07494555,4.26968022053645,"Europe"
"The Ambassador in the United Kingdom (Douglas) to the Secretary of State","London","1947-06-11",51.5073219,-0.1276474,"Europe"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-06-13",-6.1753942,106.827183,"Asia and Pacific"
"Memorandum of Conversation, by the Secretary of State 10","Washington","1947-06-17",38.8948932,-77.0365529,"North America"
"The Secretary of State to the Embassy in the Netherlands 13","Washington","1947-06-17",38.8948932,-77.0365529,"North America"
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague","1947-06-18",52.07494555,4.26968022053645,"Europe"
"Memorandum of Conversation, by the Chief of the Division of South-east Asian Affairs (Moffat)","Washington","1947-06-20",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-06-20",-6.1753942,106.827183,"Asia and Pacific"
"The Department of State to the British Embassy","Washington","1947-06-23",38.8948932,-77.0365529,"North America"
"Memorandum of Conversation, by the First Secretary of Embassy in the United Kingdom (Peterson)","London","1947-06-24",51.5073219,-0.1276474,"Europe"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-06-25",-6.1753942,106.827183,"Asia and Pacific"
"The Secretary of State to the Consulate General at Batavia","Washington","1947-06-26",38.8948932,-77.0365529,"North America"
"The Secretary of State to the Embassy in the Netherlands","Washington","1947-06-28",38.8948932,-77.0365529,"North America"
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague","1947-06-29",52.07494555,4.26968022053645,"Europe"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-06-30",-6.1753942,106.827183,"Asia and Pacific"
"The Secretary of State to the Consulate General at Batavia","Washington","1947-07-03",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-07-07",-6.1753942,106.827183,"Asia and Pacific"
"Memorandum by the Associate Chief of the Division of Northern European Affairs (Morgan) to the Director of the Office of European Affairs (Matthews)","Washington","1947-07-08",38.8948932,-77.0365529,"North America"
"Memorandum of Conversation, by the Assistant Chief of the Division of Southeast Asian Affairs (Landon)","Washington","1947-07-09",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-07-22",-6.1753942,106.827183,"Asia and Pacific"
"The Acting United States Representative at the United Nations (Johnson) to the Secretary of State","New York","1947-07-22",40.7127281,-74.0060152,"North America"
"The Ambassador in India (Grady) to the Secretary of State","New Delhi","1947-07-23",28.6141793,77.2022662,"Asia and Pacific"
"Memorandum of Conversation, by the Under Secretary of State (Lovett)","Washington","1947-07-24",38.8948932,-77.0365529,"North America"
"Memorandum of Conversation, by the Associate Chief of the Division of Northern European Affairs (Morgan)55","Washington","1947-07-24",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-07-25",-6.1753942,106.827183,"Asia and Pacific"
"The Ambassador in India (Grady) to the Secretary of State","New Delhi","1947-07-26",28.6141793,77.2022662,"Asia and Pacific"
"Memorandum by the Director of the Office of Far Eastern Affairs (Vincent) to the Under Secretary of State (Lovett)","Washington","1947-07-29",38.8948932,-77.0365529,"North America"
"Memorandum by the Deputy Director of the Office of Near Eastern and African Affairs (Villard) to the Counselor (Bohlen)","Washington","1947-07-29",38.8948932,-77.0365529,"North America"
"Memorandum by the Secretary of State to President Truman 63","Washington","1947-07-30",38.8948932,-77.0365529,"North America"
"The Chargé in Egypt (Patterson) to the Secretary of State","Cairo","1947-07-30",30.048819,31.243666,"Africa"
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague","1947-07-31",52.07494555,4.26968022053645,"Europe"
"Memorandum of Telephone Conversation, by the Under Secretary of State (Lovett)","Washington","1947-07-31",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-08-01",-6.1753942,106.827183,"Asia and Pacific"
"The Secretary of State to the Embassy in the Netherlands","Washington","1947-08-01",38.8948932,-77.0365529,"North America"
"Memorandum of Conversation, by the Under Secretary of State (Lovett)73","Washington","1947-08-02",38.8948932,-77.0365529,"North America"
"The Netherlands Ambassador (Van Kleffens) to the President of the United Nations Security Council (Faris El Khoury), at New York 77","Washington","1947-08-03",38.8948932,-77.0365529,"North America"
"The Consul at Peiping (Freeman) to the Ambassador in China (Stuart)83","Beijing","1947-08-04",39.906217,116.3912757,"Asia and Pacific"
"Memorandum of Conversation, by the Under Secretary of State (Lovett)","Washington","1947-08-04",38.8948932,-77.0365529,"North America"
"Memorandum of Conversation, by the Under Secretary of State (Lovett)","Washington","1947-08-05",38.8948932,-77.0365529,"North America"
"The Ambassador in France (Caffery) to the Secretary of State","Paris","1947-08-05",48.8566101,2.3514992,"Europe"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-08-08",-6.1753942,106.827183,"Asia and Pacific"
"The Secretary of State to the Consul General at Batavia (Foote)","Washington","1947-08-08",38.8948932,-77.0365529,"North America"
"The Secretary of State to the Acting United States Representative at the United Nations (Johnson)","Washington","1947-08-08",38.8948932,-77.0365529,"North America"
"The Ambassador in the Netherlands (Baruch) to the Secretary of State","The Hague","1947-08-12",52.07494555,4.26968022053645,"Europe"
"The Secretary of State to the Acting United States Representative at the United Nations (Johnson)","Washington","1947-08-12",38.8948932,-77.0365529,"North America"
"The Acting Secretary of State to the Acting United States Representative at the United Nations (Johnson)","Washington","1947-08-13",38.8948932,-77.0365529,"North America"
"The Acting Secretary of State to the Consul General at Batavia (Foote)94","Washington","1947-08-14",38.8948932,-77.0365529,"North America"
"Memorandum by Mr. Ben Hill Brown, Jr., of the Office of the Legal Adviser, to the Director of the Office of Special Political Affairs (Rusk)","Washington","1947-08-15",38.8948932,-77.0365529,"North America"
"The Acting United States Representative at the United Nations (Johnson) to the Secretary of State","New York","1947-08-16",40.7127281,-74.0060152,"North America"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-08-17",-6.1753942,106.827183,"Asia and Pacific"
"Memorandum of Conversation, by the Acting Secretary of State","Washington","1947-08-18",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-08-19",-6.1753942,106.827183,"Asia and Pacific"
"Memorandum of Conversation, by the Acting Chief of the Division of Southeast Asian Affairs (Landon)","Washington","1947-08-20",38.8948932,-77.0365529,"North America"
"The Acting Secretary of State to the Embassy in the United Kingdom","Washington","1947-08-20",38.8948932,-77.0365529,"North America"
"The Acting Secretary of State to the Embassy in the Netherlands","Washington","1947-08-21",38.8948932,-77.0365529,"North America"
"The Acting Secretary of State to the Embassy in the Netherlands","Washington","1947-08-21",38.8948932,-77.0365529,"North America"
"Memorandum for General Wedemeyer","Nanking","1947-08-22",32.0609736,118.7916458,"Asia and Pacific"
"The Acting Secretary of State to the Acting United States Representative at the United Nations (Johnson)","Washington","1947-08-25",38.8948932,-77.0365529,"North America"
"The Acting Secretary of State to the Consulate General at Batavia","Washington","1947-08-27",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Foote) to the Secretary of State","Jakarta","1947-09-03",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Foote) to the Secretary of State 16","Jakarta","1947-09-22",-6.1753942,106.827183,"Asia and Pacific"
"The Acting Secretary of State to the Consulate General at Batavia","Washington","1947-09-27",38.8948932,-77.0365529,"North America"
"The Acting Secretary of State to the United States Representative at the United Nations (Austin)","Washington","1947-10-10",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State 20","Jakarta","1947-10-11",-6.1753942,106.827183,"Asia and Pacific"
"Memorandum by the Director of the Policy Planning Staff (Kennan)65","Washington","1947-10-14",38.8948932,-77.0365529,"North America"
"The United States Representative at the United Nations (Austin) to the Acting Secretary of State","New York","1947-10-15",40.7127281,-74.0060152,"North America"
"The United States Representative at the United Nations (Austin) to the Secretary of State","New York","1947-10-15",40.7127281,-74.0060152,"North America"
"Memorandum of Conversations by the Acting Assistant Chief of the Division of Southeast Asian Affairs (Lacy)","Washington","1947-10-16",38.8948932,-77.0365529,"North America"
"The Secretary of State to the Acting Secretary of State","New York","1947-10-21",40.7127281,-74.0060152,"North America"
"The United States Representative at the United Nations (Austin) to the Acting Secretary of State 30","New York","1947-10-25",40.7127281,-74.0060152,"North America"
"The United States Representative at the United Nations (Austin) to the Acting Secretary of State","New York","1947-10-25",40.7127281,-74.0060152,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State 32","Jakarta","1947-10-29",-6.1753942,106.827183,"Asia and Pacific"
"The Acting Secretary of State to the United States Representative at the United Nations (Austin)33","Washington","1947-10-30",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State 36","Jakarta","1947-10-31",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State 38","Jakarta","1947-11-01",-6.1753942,106.827183,"Asia and Pacific"
"The Secretary of State to the Consulate General at Batavia 41","Washington","1947-11-03",38.8948932,-77.0365529,"North America"
"The Ambassador in the Soviet Union (Smith) to the Secretary of State","Moscow","1947-11-06",55.7504461,37.6174943,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1947-11-07",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State 43","Jakarta","1947-11-13",-6.1753942,106.827183,"Asia and Pacific"
"Memorandum of Conversation, by Mr. Harley E. Notter of the United States Delegation Staff of Advisers","New York","1947-11-14",40.7127281,-74.0060152,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State 46","Jakarta","1947-11-17",-6.1753942,106.827183,"Asia and Pacific"
"The Acting Secretary of State to the Consulate General at Batavia","Washington","1947-11-18",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State 49","Jakarta","1947-12-01",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State 51","Jakarta","1947-12-01",-6.1753942,106.827183,"Asia and Pacific"
"The Chargé in the Soviet Union (Durbrow) to the Secretary of State 94","Moscow","1947-12-02",55.7504461,37.6174943,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1947-12-04",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1947-12-04",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1947-12-06",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State 58","Jakarta","1947-12-06",-6.1753942,106.827183,"Asia and Pacific"
"The Acting Secretary of State to the Consulate General at Batavia","Washington","1947-12-11",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1947-12-13",-6.1753942,106.827183,"Asia and Pacific"
"Memorandum of Conversation, by the Political Adviser for Germany (Murphy)31","London","1947-12-18",51.5073219,-0.1276474,"Europe"
"The Acting Secretary of State to the Consulate General at Batavia 63","Washington","1947-12-18",38.8948932,-77.0365529,"North America"
"The Acting Secretary of State to the Consulate General at Batavia 64","Washington","1947-12-19",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State 67","Jakarta","1947-12-20",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State 70","Jakarta","1947-12-20",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State 73","Jakarta","1947-12-20",-6.1753942,106.827183,"Asia and Pacific"
"The Acting Secretary of State to the Consulate General at Batavia","Washington","1947-12-20",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1947-12-22",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1947-12-23",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State 85","Jakarta","1947-12-27",-6.1753942,106.827183,"Asia and Pacific"
"The Ambassador in the Soviet Union (Smith) to the Secretary of State","Moscow","1947-12-27",55.7504461,37.6174943,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1947-12-30",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1947-12-31",-6.1753942,106.827183,"Asia and Pacific"
"The Acting Secretary of State to the Embassy in Australia","Washington","1947-12-31",38.8948932,-77.0365529,"North America"
"The Acting Secretary of State to the Consulate General at Batavia","Washington","1947-12-31",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State 2","Jakarta","1948-01-05",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Jakarta","1948-01-05",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-01-05",-6.1753942,106.827183,"Asia and Pacific"
"Memorandum of Conversation, by the Acting Chief of the Division of Northern European Affairs (Hulley)","Washington","1948-01-06",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Jakarta","1948-01-06",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-01-07",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-01-07",-6.1753942,106.827183,"Asia and Pacific"
"The Secretary of State to the Consulate General at Batavia 1","Washington","1948-01-07",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-01-09",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-01-10",-6.1753942,106.827183,"Asia and Pacific"
"The Secretary of State to the Embassy in the Netherlands","Washington","1948-01-09",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-01-10",-6.1753942,106.827183,"Asia and Pacific"
"The Secretary of State to the Consulate General at Batavia","Washington","1948-01-10",38.8948932,-77.0365529,"North America"
"The Chargé in the Netherlands (Bonsal) to the Secretary of State","The Hague","1948-01-11",52.07494555,4.26968022053645,"Europe"
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Jakarta","1948-01-12",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-01-13",-6.1753942,106.827183,"Asia and Pacific"
"The Secretary of State to the Embassy in the Netherlands 1","Washington","1948-01-13",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-01-17",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-01-19",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-01-19",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Jakarta","1948-01-21",-6.1753942,106.827183,"Asia and Pacific"
"The Acting Secretary of State to the Consulate General at Batavia","Washington","1948-01-23",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Jakarta","1948-01-25",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-01-28",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-01-28",-6.1753942,106.827183,"Asia and Pacific"
"Memorandum of Conversation, by the Assistant Secretary of State for Political Affairs (Armour)1","Washington","1948-01-29",38.8948932,-77.0365529,"North America"
"The Secretary of State to Certain Diplomatic and Consular Officers 2","Washington","1948-01-29",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-01-31",-6.1753942,106.827183,"Asia and Pacific"
"Memorandum of Conversation, by the Acting Assistant Chief of the Division of Southeast Asian Affairs (Lacy)","Washington","1948-02-04",38.8948932,-77.0365529,"North America"
"The Secretary of State to the Consulate General at Batavia 1","Washington","1948-02-04",38.8948932,-77.0365529,"North America"
"Memorandum to the Secretary of State 1","Washington","1948-02-10",38.8948932,-77.0365529,"North America"
"The Acting Secretary of State to the Consulate General at Batavia","Washington","1948-02-13",38.8948932,-77.0365529,"North America"
"Memorandum of Conversation, by the Acting Assistant Chief of the Division of Southeast Asian Affairs (Lacy)","Washington","1948-02-13",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-02-13",-6.1753942,106.827183,"Asia and Pacific"
"The Secretary of State to the Consulate General at Batavia","Washington","1948-02-13",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-02-15",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-02-18",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Jakarta","1948-02-20",-6.1753942,106.827183,"Asia and Pacific"
"Memorandum of Conversation, by the Acting Assistant Chief of the Division of Southeast Asian Affairs (Lacy)","Washington","1948-02-21",38.8948932,-77.0365529,"North America"
"The Consul General at Batavia (Livengood) to the Secretary of State 1","Jakarta","1948-02-24",-6.1753942,106.827183,"Asia and Pacific"
"The Consul General at Batavia (Livengood) to the Secretary of State","Jakarta","1948-02-25",-6.1753942,106.827183,"Asia and Pacific"
"The Secretary of State to the United States Representative at the United Nations (Austin)","Washington","1948-02-25",38.8948932,-77.0365529,"North America"
